index,study,age,gender,education,language,birth_place,location,group,task,id,t1_exclude,t1_dscore,t2_exclude,t2_dscore,Q1_A1,Q1_A2 *,Q1_A3 *,Q1_A4,Q1_A5 *,Q1_A6,Q1_A7,Q1_A8 *,Q1_A9,Q1_A10 *,t1_ques,Q2_A1,Q2_A2 *,Q2_A3 *,Q2_A4,Q2_A5 *,Q2_A6,Q2_A7,Q2_A8 *,Q2_A9,Q2_A10 *,t2_ques_computed,t2_ques,t1_ques_norm,t2_ques_norm,1st check indicator,2nd check,2nd check indicator,exclude,exclude_t1,dscore_paired_even_t1,dscore_paired_odd_t1,exclude_t2,dscore_paired_even_t2,dscore_paired_odd_t2,t1_com_d_norm,t2_com_d_norm
797,S1,54,Male,Some college (no degree),English,United Kingdom ,United Kingdom ,2,qIAT,R_3MG5Wasp5qvt7WZ,False,-1.19184664,False,-0.465660566,1,4,3,2,4,3,1,4,1,4,19,5,2,2,5,1,5,4,2,5,2,45,45,-1.024703656,0.953031711,,extrovert,,0,False,-1.477147956,-0.964126766,False,-0.653904671,-0.226043837,-1.439045001,-0.624814218
798,S1,38,Male,Master's degree,English,United Kingdom ,United Kingdom ,2,qIAT,R_3MG9WMlMnjdtU4M,False,0.967809553,False,0.832892791,3,2,1,4,3,3,2,3,3,3,33,5,1,2,5,1,4,5,2,4,1,46,46,0.576750545,1.015895333,,Extroverted,,0,False,1.254275727,0.654456688,False,1.185249661,0.591908215,0.982453587,0.831179163
799,S1,70,Female,Bachelor's degree,English,United Kingdom ,United Kingdom ,1,qIAT,R_3MGMdEN5eavPNNX,False,-0.425411068,False,-0.639651342,1,2,2,2,2,3,2,4,1,3,26,1,5,5,3,5,1,1,5,1,5,12,12,-0.223976555,-1.121467829,,introverted,,0,False,-0.315892948,-0.573078621,False,-0.544953283,-0.713317839,-0.579684764,-0.819900093
801,S1,29,Female,Bachelor's degree,English,United Kingdom ,United Kingdom ,1,qIAT,R_3NCd6ohUNmYqwCb,False,-0.439487469,False,-0.16137402,1,5,4,2,4,1,3,5,1,4,16,1,5,5,1,5,1,1,5,5,5,14,14,-1.367872414,-0.995740584,,introverted,,0,False,-0.405638983,-0.463130821,False,-0.203729476,-0.108515306,-0.595467826,-0.283635171
803,S1,66,Male,Master's degree,English,United Kingdom ,United Kingdom ,1,qIAT,R_3NE9p3sJmV2MkRK,False,0.612134926,False,-0.074822705,2,4,2,2,3,3,2,2,4,4,28,1,5,5,1,5,1,1,5,1,5,10,10,0.004802616,-1.247195074,,introvert,,0,False,0.688417125,0.528452975,False,0.032124978,-0.146270346,0.583656034,-0.186590147
804,S1,33,Female,High school graduate,English,United Kingdom ,United Kingdom ,2,qIAT,R_3nirB8HJslrxt89,True,1.039576552,False,0.513151146,4,2,4,2,4,4,2,4,2,4,26,5,1,1,5,1,5,5,1,5,1,50,50,,,,Extrovert,,1,True,0.858873038,1.253746226,False,0.472800191,0.644649119,1.062921806,0.4726712
805,S1,32,Female,High school graduate,English,United Kingdom ,United Kingdom ,0,qIAT,R_3njkf66nCaCBNYJ,False,0.593349025,False,0.286011384,3,2,2,4,3,4,2,5,2,4,29,3,2,2,4,3,4,3,5,2,4,30,30,0.119192202,0.010077375,,,,0,False,0.803152561,0.330387879,False,0.271098584,0.298848543,0.562592481,0.217992416
806,S1,42,Female,Bachelor's degree,English,United Kingdom ,United Kingdom ,1,qIAT,R_3no8OrZHPhDhbWF,False,-1.219973022,False,-0.962984859,1,3,2,3,4,3,2,4,1,5,22,1,5,5,1,5,1,1,5,1,5,10,10,-0.681534899,-1.247195074,,introverted,,0,False,-1.32610021,-1.113563344,False,-0.891992515,-1.118193628,-1.4705815,-1.182435415
807,S1,35,Male,Master's degree,English,United Kingdom ,United Kingdom ,0,qIAT,R_3npFU4ZJHE4kovz,False,0.459241068,False,-0.096034717,4,1,1,4,3,3,5,2,2,2,39,4,1,1,4,1,3,4,1,2,2,41,41,1.26308806,0.701577221,,,,0,False,0.483412368,0.430935949,False,-0.034464234,-0.143407003,0.412224923,-0.210373959
808,S1,40,Female,High school graduate,English,United Kingdom ,United Kingdom ,0,qIAT,R_3p91lsyEfDhZM7o,False,0.051242525,False,-0.130486801,2,2,2,3,3,2,4,4,3,4,29,2,3,3,4,3,2,3,4,3,4,27,27,0.119192202,-0.178513493,,,,0,False,0.489991054,-0.207208172,False,0.014293609,-0.224128101,-0.045240437,-0.249003104
811,S1,58,Male,Some college (no degree),English,United Kingdom ,United Kingdom ,1,qIAT,R_3PKUYsltuGkN6sO,False,1.290691641,False,0.926715254,2,2,2,4,3,4,4,2,3,3,35,1,4,4,1,4,1,1,4,1,5,14,14,0.805529717,-0.995740584,,introverted,,0,False,1.457011431,1.111618396,False,1.184594964,0.684551575,1.344482749,0.936376908
814,S1,43,Female,Some college (no degree),English,United Kingdom ,United Kingdom ,0,qIAT,R_3r1dpXBUJd2LMeu,False,-0.538722549,False,-0.390276555,4,3,3,4,4,3,3,5,2,5,26,4,4,3,4,4,3,3,5,1,4,25,25,-0.223976555,-0.304240738,,,,0,False,-0.581567386,-0.491011979,False,-0.337161763,-0.431964558,-0.706734427,-0.540290451
815,S1,29,Male,Master's degree,English,United Kingdom ,United Kingdom ,0,qIAT,R_3RjSi9QKwNUwM3Q,False,0.980146825,False,1.168708576,4,1,1,5,1,5,5,2,4,1,47,4,1,1,5,1,5,5,1,4,1,48,48,2.178204747,1.141622578,,,,0,False,0.923973257,1.021498274,False,0.871065428,1.470974018,0.996286663,1.207710137
816,S1,30,Male,Bachelor's degree,English,United Kingdom ,United Kingdom ,2,qIAT,R_3shJRLZQsie7uGr,True,0.671170289,True,-0.443138139,2,4,3,3,5,3,4,5,1,4,22,5,1,1,5,1,4,5,1,1,1,45,45,,,,EXTROVERTED,,1,True,0.615848159,0.737425255,True,-0.230104764,-0.599713262,0.649848999,-0.599561113
817,S1,36,Female,Bachelor's degree,English,United Kingdom ,United Kingdom ,1,qIAT,R_3snxMGosxyC7CdU,False,1.150279046,False,0.326172264,4,1,1,5,2,5,4,2,4,2,44,1,5,5,1,5,1,1,5,1,5,10,10,1.835035989,-1.247195074,,introverted,,0,False,1.26121654,1.055953098,False,0.105248855,0.522555524,1.187046162,0.263022507
819,S1,58,Male,High school graduate,English,United Kingdom ,United Kingdom ,1,qIAT,R_5pcPDXjazi58A9P,False,-1.507623586,False,-1.500809621,2,3,2,4,3,4,3,4,3,3,31,1,5,5,1,5,1,1,5,1,5,10,10,0.347971374,-1.247195074,,Introverted,,0,False,-1.691085195,-1.334454349,False,-1.420379535,-1.545291016,-1.793107574,-1.785467466
820,S1,45,Female,Some college (no degree),English,United Kingdom ,United Kingdom ,2,qIAT,R_5vF7dRke5ud4i8p,False,1.273255446,False,1.465996181,4,1,1,4,2,4,4,2,3,2,41,5,1,1,5,1,5,5,1,5,1,50,50,1.491867232,1.267349823,,extroverted,,0,False,1.542820283,1.101956021,False,1.623353131,1.284418196,1.324932544,1.541041673
821,S1,26,Male,High school graduate,English,United Kingdom ,United Kingdom ,0,qIAT,R_6G05waqKd4UjrXz,False,0.46719213,False,0.06277113,1,4,4,1,4,2,1,5,1,4,15,1,4,4,2,5,2,2,4,1,4,17,17,-1.482261999,-0.807149717,,,,0,False,0.359295287,0.585487663,False,0.245938414,-0.106502217,0.421139992,-0.032314073
823,S1,25,Male,Associate's degree,English,United Kingdom ,United Kingdom ,1,qIAT,R_86UhBvhi8OWG8ud,False,1.093921987,False,0.878615454,3,2,2,5,2,4,4,3,3,2,38,2,4,4,4,4,4,4,4,4,4,28,28,1.148698474,-0.11564987,,introverted,,0,False,1.074345297,1.104253903,False,0.956666004,0.774767047,1.123856225,0.882445361
824,S1,28,Male,High school graduate,English,United Kingdom ,United Kingdom ,0,qIAT,R_8p670foDzBtjlm1,False,0.44256731,False,0.761705634,4,1,1,3,1,5,4,3,3,2,41,4,1,1,4,2,5,4,3,3,2,41,41,1.491867232,0.701577221,,,,0,False,0.608160176,0.326807041,False,0.549890894,0.940371699,0.393529595,0.751361088
829,S1,66,Female,Some college (no degree),English,United Kingdom ,United Kingdom ,1,qIAT,R_abmBuV7yK7kUZe9,False,0.093366125,True,-0.333823128,1,1,1,4,4,4,3,4,1,3,30,1,5,5,1,5,1,1,5,1,5,10,10,,,,introvert,,1,False,-0.070798529,0.32950467,True,-0.564162495,0.007282196,0.001990339,-0.476992462
830,S1,24,Female,High school graduate,English,United Kingdom ,United Kingdom ,2,qIAT,R_AEz1heTDFvl2jtf,False,0.591742097,False,0.083665505,4,2,2,4,2,5,4,2,3,2,40,5,1,1,4,2,4,4,2,3,2,42,42,1.377477646,0.764440844,,extroverted ,,0,False,1.09239415,0.156830762,False,0.071736334,0.098391458,0.560790725,-0.00888641
831,S1,47,Female,Bachelor's degree,English,United Kingdom ,United Kingdom ,2,qIAT,R_AnEjhTbDrCAzmmJ,True,0.631095174,True,0.808581899,2,4,3,4,4,4,4,4,3,4,28,2,4,2,4,4,4,4,4,4,4,30,30,,,,extrovert,,1,True,0.648504822,0.644967997,True,0.449984045,1.185436506,0.604915072,0.803920755
832,S1,33,Female,Master's degree,English,United Kingdom ,United Kingdom ,0,qIAT,R_ApQD29B3wp0ajh7,False,0.781185679,False,0.711081789,3,2,2,4,2,5,4,3,5,2,40,4,1,1,4,2,5,4,2,5,2,44,44,1.377477646,0.890168089,,,,0,False,0.759526303,0.784746931,False,1.336265873,0.158725758,0.773202945,0.694599475
836,S1,32,Female,Some college (no degree),English,United Kingdom ,United Kingdom ,0,qIAT,R_bNLOOe8X9Ashibn,False,-0.414246379,False,-0.353463296,4,4,2,1,4,1,1,3,2,5,21,4,2,2,1,4,1,2,3,2,4,25,25,-0.795924485,-0.304240738,,,,0,False,-0.237372048,-0.590206199,False,-0.517997622,-0.155828985,-0.56716644,-0.499013855
839,S1,52,Male,Bachelor's degree,English,United Kingdom ,United Kingdom ,1,qIAT,R_C9yjJYdbYrt6Kxb,False,-0.496459932,False,-0.446921132,2,5,4,3,4,3,2,4,2,5,20,1,5,5,1,5,1,1,5,1,5,10,10,-0.91031407,-1.247195074,,introverted,,0,False,-0.364296595,-0.673370706,False,-0.395256163,-0.517345698,-0.65934778,-0.603802765
843,S1,22,Female,Bachelor's degree,English,United Kingdom ,United Kingdom ,0,qIAT,R_do4F3kHvP7F3iyB,False,0.666563988,False,0.366500345,3,3,2,4,3,3,2,2,4,4,32,3,3,2,4,3,3,3,4,4,4,31,31,0.462360959,0.072940997,,,,0,False,0.20057317,1.007560243,False,0.327496757,0.395203407,0.644684219,0.308240071
845,S1,38,Female,Professional degree,English,Nigeria ,United Kingdom ,0,qIAT,R_DwPBaguNTbOFZIJ,False,0.458384513,False,-0.090996444,2,4,4,4,5,2,4,5,1,4,21,2,4,4,2,4,3,4,5,1,4,21,21,-0.795924485,-0.555695227,,,,0,False,0.600134275,0.291567264,False,0.034890966,-0.218645239,0.411264517,-0.204724833
846,S1,42,Male,I prefer not to say,English,United Kingdom ,United Kingdom ,2,qIAT,R_eEUv3KqjzDAc78R,False,-0.482396127,False,0.449386802,3,5,2,2,5,1,1,5,1,5,16,5,1,1,5,1,5,5,1,5,1,50,50,-1.367872414,1.267349823,,extraverted,,0,False,-0.713383822,-0.127545646,False,0.265044418,0.687901087,-0.643578842,0.401175899
847,S1,25,Female,Some college (no degree),English,United Kingdom ,United Kingdom ,2,qIAT,R_eFhubs7mMj8CXQd,False,0.240909185,False,0.006626815,1,4,4,1,5,1,1,4,1,4,14,5,1,1,4,1,4,3,3,4,1,43,43,-1.596651585,0.827304466,,extraverted ,,0,False,0.046062198,0.417742942,False,0.197364048,-0.171443614,0.167421907,-0.095265473
848,S1,66,Female,High school graduate,English,United Kingdom ,United Kingdom ,0,qIAT,R_eLoEWCTBVtG3GxP,False,1.011747892,False,0.912678681,1,5,5,4,5,3,1,5,1,4,16,1,1,1,2,1,1,1,1,1,4,28,28,-1.367872414,-0.11564987,,,,0,False,1.052230082,0.968333371,False,1.019369822,0.783237742,1.031719126,0.920638504
851,S1,52,Female,High school graduate,English,United Kingdom ,United Kingdom ,1,qIAT,R_ewDRigcczrWNEid,False,0.768164368,False,0.27401055,4,2,2,5,2,4,4,4,2,4,35,1,5,5,1,5,1,1,5,1,5,10,10,0.805529717,-1.247195074,,intraverte,,0,False,0.567473541,0.972098058,False,0.398007952,0.153597711,0.758602896,0.204536569
854,S1,78,Female,High school graduate,English,United Kingdom ,United Kingdom ,0,qIAT,R_patqaRoKEvEKNTX,False,0.086505803,False,0.37707593,2,2,3,5,2,3,4,5,2,3,31,2,3,2,5,3,4,4,4,2,2,33,33,0.347971374,0.198668242,,,,0,False,-0.163389781,0.249378793,False,0.503621532,0.23774795,-0.005701746,0.320097867
855,S1,46,Female,Bachelor's degree,English,United Kingdom ,United Kingdom ,0,qIAT,R_pKLiSUfF05fWXzr,True,-0.498676378,True,,1,4,4,2,5,3,1,5,1,4,16,1,2,4,4,4,3,3,2,3,3,29,29,,,,,,1,True,-0.486429448,-0.546324672,True,,,-0.661832954,
856,S1,60,Female,High school graduate,English,United Kingdom ,United Kingdom ,0,qIAT,R_r139zUQ6IjgTdyF,False,1.074794336,False,1.323618681,2,4,4,3,4,3,2,4,3,5,22,3,4,4,2,2,3,2,4,3,5,24,24,-0.681534899,-0.36710436,,,,0,False,1.197729999,0.983841336,False,1.642756833,1.176452629,1.102409487,1.381401951
858,S1,55,Female,Some college (no degree),English,South Africa ,United Kingdom ,0,qIAT,R_rdUWhV7bGG14NkR,False,1.355837683,False,1.206460407,4,3,1,4,3,4,4,4,3,3,35,4,2,1,4,3,4,4,3,3,3,37,37,0.805529717,0.450122732,,,,0,False,1.342046315,1.338573484,False,1.157682549,1.791842701,1.417527269,1.250039099
861,S1,48,Male,Bachelor's degree,English,United Kingdom ,United Kingdom ,2,qIAT,R_Rzy9a3fCzLWLI3f,True,-0.819436733,False,0.055254119,2,4,3,2,4,2,2,4,2,4,21,5,1,1,5,1,5,5,1,5,1,50,50,,,,extraverted,,1,True,-0.621798677,-1.060824672,False,0.266964462,-0.123211205,-1.021483138,-0.040742467
864,S1,33,Female,Bachelor's degree,English,United Kingdom ,United Kingdom ,2,qIAT,R_spzHgjuO3Nz8v1T,False,-0.003381813,False,0.083780042,3,2,2,3,2,4,4,4,2,4,32,5,1,1,5,1,5,5,1,5,1,50,50,0.462360959,1.267349823,,extraverted ,,0,False,-0.043839281,0.042154197,False,-0.154496781,0.336782761,-0.106487573,-0.008757986
865,S1,27,Male,Some college (no degree),English,United Kingdom ,United Kingdom ,1,qIAT,R_sRLu2CUe0PzwVnX,False,-2.084955385,False,-1.267261555,4,5,4,4,3,5,4,5,5,4,31,1,5,5,1,5,1,1,5,1,5,10,10,0.347971374,-1.247195074,,Introverted,,0,False,-2.160941666,-2.07831749,False,-1.337555481,-1.167857432,-2.440436599,-1.523603419
870,S1,72,Female,High school graduate,English,United Kingdom ,United Kingdom ,2,qIAT,R_T5ytsgK3tHD9Odb,True,0.652085084,False,1.840923446,4,2,2,4,1,5,4,2,4,2,42,5,1,1,5,2,5,5,1,5,1,49,49,,,,extrovert,,1,True,0.912953385,0.481496077,False,1.481458778,2.224329891,0.628449854,1.961426105
871,S1,26,Female,9th to 12th grade,English,United Kingdom ,United Kingdom ,1,qIAT,R_TbGZZ3tS3ULGzaF,False,0.179109245,False,0.278501229,4,2,2,4,2,4,4,3,4,2,39,1,5,5,1,5,1,1,5,1,5,10,10,1.26308806,-1.247195074,,introverted ,,0,False,-0.058597959,0.525466627,False,-0.019262938,0.637065751,0.09812918,0.20957171
872,S1,51,Male,Professional degree,English,United Kingdom ,United Kingdom ,0,qIAT,R_tGygOSKfIcf0ipX,True,-0.509125979,True,-0.62302783,2,4,1,3,5,4,3,2,3,4,29,3,4,4,2,4,3,1,4,3,4,22,22,,,,,,1,True,-0.097040763,-1.086840458,True,-0.495480411,-0.722834524,-0.673549491,-0.801261102
873,S1,40,Male,High school graduate,English,United Kingdom ,United Kingdom ,0,qIAT,R_tKz8faYM7SK9ZAZ,False,-1.61824983,False,-0.593837861,2,5,4,1,5,1,1,5,1,5,12,2,5,4,1,5,1,1,5,1,5,12,12,-1.825430757,-1.121467829,,,,0,False,-1.794624754,-1.491190475,False,-0.672432882,-0.56952408,-1.917146434,-0.768532065
876,S1,63,Male,Bachelor's degree,English,United Kingdom ,United Kingdom ,0,qIAT,R_UnpwvaSAB8BNU2t,False,-1.804471308,False,-0.961506042,1,5,5,1,5,1,1,5,1,5,10,1,5,5,1,5,1,1,5,1,5,10,10,-2.054209928,-1.247195074,,,,0,False,-1.521384201,-2.196632886,False,-0.781557156,-1.203817969,-2.125945894,-1.180777304
880,S1,43,Female,Master's degree,English,United Kingdom ,United Kingdom ,1,qIAT,R_vHTRePTBTxJ1fXj,False,-0.221167732,False,-0.296451358,3,4,3,4,4,3,2,4,3,4,26,1,5,5,1,5,1,1,5,1,5,10,10,-0.223976555,-1.247195074,,introverted,,0,False,-0.351131312,-0.088298304,False,0.219119052,-0.913993526,-0.35067843,-0.43508964
883,S1,62,Male,High school graduate,English,United Kingdom ,United Kingdom ,0,qIAT,R_vSpVu1w4hAUURxL,False,-1.415063638,True,-1.242166144,3,3,2,4,2,4,2,3,3,2,34,2,4,4,2,4,2,2,4,3,4,21,21,,,,,,1,False,-1.172213212,-1.712181923,True,-0.689346752,-1.871637156,-1.689325415,-1.495465374
885,S1,29,Male,Some college (no degree),English,United Kingdom ,United Kingdom ,0,qIAT,R_vvrQsOyoGHcKqrv,False,0.465094152,False,1.239034365,5,1,1,4,2,5,5,1,4,2,46,5,1,1,5,1,5,5,1,4,4,46,46,2.063815161,1.015895333,,,,0,False,0.784342851,0.303199858,False,1.193159394,1.36184365,0.41878765,1.286562409
886,S1,26,Female,Bachelor's degree,English,Spain ,United Kingdom ,2,qIAT,R_WfxCxvCdlVHaskV,False,0.603301928,False,0.503069384,5,1,1,4,1,5,5,2,4,3,45,5,1,1,5,1,5,5,1,5,1,50,50,1.949425575,1.267349823,,Extraverted,,0,False,0.211317528,1.110567961,False,0.737885293,0.28757698,0.5737521,0.461367099
887,S1,31,Female,Bachelor's degree,English,United Kingdom ,United Kingdom ,2,qIAT,R_WqvL6DQL7N6MTaV,False,0.085415066,False,0.434654548,1,3,3,2,4,1,1,5,1,5,16,5,1,1,5,1,5,5,1,5,1,50,50,-1.367872414,1.267349823,,extraveted,,0,False,-0.038466789,0.23843494,False,0.453467445,0.419568031,-0.006924727,0.384657468
890,S1,43,Male,Master's degree,English,United Kingdom ,United Kingdom ,1,qIAT,R_XL1uklQQ6G13TH3,False,0.759391304,False,0.695347261,4,1,4,5,2,4,5,5,2,3,35,4,2,2,5,3,4,4,1,3,2,40,40,,,*,honest,*,1,False,0.415075856,1.17899688,False,0.443210984,1.009858063,0.748766162,0.676957251
892,S1,36,Female,Bachelor's degree,English,United Kingdom ,United Kingdom ,2,qIAT,R_XYdx8NdXzMiVUVX,False,0.987911141,False,1.002771169,2,1,4,4,4,5,4,2,4,2,36,5,1,1,5,1,5,5,1,5,1,50,50,0.919919303,1.267349823,,exroverted,,0,False,0.858332777,1.542310955,False,1.033004486,0.954136372,1.004992346,1.021654042
894,S1,40,Female,Bachelor's degree,English,United Kingdom ,United Kingdom ,1,qIAT,R_YXiuCoYHuRH02Tn,True,-0.931261344,False,-0.551305943,2,4,4,3,4,3,2,5,2,5,20,2,4,4,2,4,2,2,5,2,4,19,19,,,,introvert ,,1,True,-0.689299112,-1.249445485,False,-0.884870471,-0.369988578,-1.146865658,-0.720843466
897,S1,38,Female,Bachelor's degree,English,United Kingdom ,United Kingdom ,1,qIAT,R_Z9U6fL1MmOra4wh,False,1.365024362,False,-0.274683666,4,2,2,4,2,4,4,4,4,2,38,1,5,5,1,5,1,1,5,1,5,10,10,1.148698474,-1.247195074,,Introverted,,0,False,1.47810957,1.27515945,False,-0.189486612,-0.337452715,1.427827764,-0.410682777
1,S2,35,Male,Some college (no degree),English,United Kingdom ,United Kingdom ,2,IAT,R_0022ysnJPuI1SH7,False,-0.061839171,False,0.574378035,3,2,2,5,2,5,5,3,4,2,41,5,1,1,5,1,5,5,1,5,1,50,50,1.482520658,2.499231078,,extraverted,,0,False,-0.078467713,0.053373141,False,0.638557507,0.51595487,0.63270281,1.686025953
2,S2,63,Male,Bachelor's degree,English,United Kingdom ,United Kingdom ,1,IAT,R_068S3WodbHRnbk5,False,-0.75063573,False,-0.137176979,1,4,2,2,4,2,2,4,1,5,19,1,5,5,1,5,1,1,5,1,5,10,10,-1.002771481,-2.019481901,,introverted,,0,False,-0.437433299,-0.375050806,False,0.058356862,-0.301783098,-0.50767087,0.507973306
3,S2,48,Male,Master's degree,English,United Kingdom ,United Kingdom ,1,IAT,R_0iGnVG4hYoidecF,False,-0.349507198,False,-0.147031381,1,5,5,3,4,2,1,4,4,4,19,1,5,5,1,5,1,1,5,1,5,10,10,-1.002771481,-2.019481901,,introvert,,0,False,-0.263555914,-0.557636936,False,-0.370707866,0.173461647,0.156438749,0.491658327
4,S2,46,Male,Associate's degree,English,United Kingdom ,United Kingdom ,0,IAT,R_0JqqLtjF0Mn47eN,False,-0.643344499,False,-0.154813338,3,4,4,3,4,2,2,4,1,5,20,3,2,2,3,4,2,2,4,1,4,25,25,-0.889803656,-0.324964534,,,,0,False,-0.83982792,-0.632389216,False,-0.263119816,-0.094856384,-0.330039181,0.478774496
5,S2,39,Female,Master's degree,English,United Kingdom ,United Kingdom ,0,IAT,R_0N9zagtU8c3kfpD,False,-0.495929125,False,-0.322791919,2,4,3,4,4,2,2,5,2,5,21,2,4,4,4,4,2,2,5,2,5,20,20,-0.776835832,-0.889803656,,,,0,False,-0.444906078,-0.54367639,False,-0.285862348,-0.315501772,-0.08597784,0.200668646
6,S2,53,Male,High school graduate,English,Mauritius ,United Kingdom ,1,qIAT,R_0P7lJBScKXySq6l,False,0.434636789,False,1.393520445,3,4,3,4,3,3,3,3,2,3,29,1,5,5,1,5,1,1,5,1,5,10,10,0.126906764,-2.019481901,,introverted,,0,False,0.617478152,0.287109058,False,1.382136666,1.394803671,0.403061281,1.48832546
7,S2,42,Female,Bachelor's degree,English,United Kingdom ,United Kingdom ,1,qIAT,R_0Th8oiwJgDOfNPr,False,0.813223995,False,-0.801091294,4,2,2,3,3,3,2,4,3,4,30,1,5,5,1,5,1,1,5,1,5,10,10,0.239874589,-2.019481901,,introverted,,0,False,0.879101982,0.733586124,False,-0.911898291,-0.711955412,0.831546145,-0.995535324
8,S2,53,Male,Professional degree,English,United Kingdom ,United Kingdom ,1,qIAT,R_0VsW4apqmUUpBQt,False,-1.061356405,False,-1.083644331,1,5,5,2,5,2,1,5,1,5,12,1,5,5,1,5,1,1,5,1,5,10,10,-1.793546252,-2.019481901,,introverted,,0,False,-1.097086268,-0.998212593,False,-1.013320187,-1.182971448,-1.290103283,-1.31532875
9,S2,63,Female,Bachelor's degree,English,United Kingdom ,United Kingdom ,1,IAT,R_10Oy1mleNpgnTLX,False,0.340473084,False,-0.01300011,2,5,2,4,2,5,3,2,3,4,32,1,5,5,1,5,1,1,5,1,5,10,10,0.465810238,-2.019481901,,unsociable,,0,False,0.477301528,0.227508533,False,-0.0889635,-0.052645061,1.298772204,0.713560907
10,S2,29,Male,Bachelor's degree,English,United Kingdom ,United Kingdom ,0,IAT,R_10SGlODTAKudYpe,False,0.332051049,False,0.69308489,2,3,3,3,4,4,3,4,3,3,28,3,3,2,3,3,3,3,4,3,3,30,30,0.01393894,0.239874589,,,,0,False,0.414651559,0.220669195,False,0.929545226,0.379388051,1.284828657,1.882557382
11,S2,46,Male,High school graduate,English,United Kingdom ,United Kingdom ,2,IAT,R_10UjmF5NsXK3Yxj,False,-0.55649314,False,-0.247746827,1,5,4,3,4,2,2,4,1,5,17,5,1,1,5,1,5,5,1,5,1,50,50,-1.228707129,2.499231078,,extrovert,,0,False,-0.400332025,-0.731189543,False,-0.311306733,-0.207608244,-0.186247807,0.324913529
12,S2,56,Male,Master's degree,English,United Kingdom ,United Kingdom ,1,IAT,R_111HjRsdJ4CF1Uu,False,-0.906559961,False,-0.531267242,4,2,2,4,2,4,2,4,4,4,34,1,5,5,1,5,1,1,5,1,5,10,10,0.691745886,-2.019481901,,introvert,,0,False,-0.622909959,-1.138721753,False,-0.676535451,-0.41772712,-0.765819501,-0.144483733
13,S2,67,Female,9th to 12th grade,English,United Kingdom ,United Kingdom ,1,qIAT,R_111sRvKhgPqm3li,False,-1.731359153,False,0.601375947,4,1,1,4,2,5,4,4,2,2,39,1,5,5,1,5,1,1,5,1,5,10,10,1.256585009,-2.019481901,,introverted,,0,False,-1.5367132,-1.917462928,False,0.768943656,0.467771154,-2.048412155,0.5917766
14,S2,34,Female,Bachelor's degree,English,United Kingdom ,United Kingdom ,1,qIAT,R_11hgBZmfejA6Xea,True,0.425981009,False,0.429294993,3,3,1,2,3,4,4,5,2,3,30,1,5,5,1,5,1,1,5,1,5,10,10,0.239874589,-2.019481901,,introverted ,,1,True,0.394390169,0.446823449,False,0.496390755,0.374595497,0.393264672,0.397015438
15,S2,36,Female,Master's degree,English,United Kingdom ,United Kingdom ,2,IAT,R_12DZ6ULzGSgPlG3,False,-0.14558385,False,-0.557412191,3,2,2,2,2,1,2,4,2,5,25,5,1,1,5,1,5,5,1,5,1,50,50,-0.324964534,2.499231078,,extraverted,,0,False,-0.110959833,-0.318796093,False,-0.892293411,-0.241443837,0.494054864,-0.187769391
16,S2,41,Female,High school graduate,English,United Kingdom ,United Kingdom ,1,IAT,R_12JTr59cXXR5rtN,False,-0.731641728,False,-0.326755548,1,5,4,4,5,1,1,5,1,5,14,1,5,5,1,5,1,1,5,1,5,10,10,-1.567610603,-2.019481901,,introverted,,0,False,-0.782469695,-0.686102339,False,-0.283140445,-0.376920059,-0.476224343,0.194106449
17,S2,72,Female,Bachelor's degree,English,United Kingdom ,United Kingdom ,1,qIAT,R_12mC0s3taKTok7g,False,-2.060091284,False,-0.339744338,1,4,4,3,4,3,2,4,2,4,21,1,5,5,1,5,1,1,5,1,5,10,10,-0.776835832,-2.019481901,,introverted,,0,False,-1.753127698,-2.379110593,False,0.094587717,-0.676833386,-2.420471064,-0.473383004
18,S2,45,Female,Bachelor's degree,English,United Kingdom ,United Kingdom ,0,qIAT,R_12QglWRDQ5lGhcU,False,-1.559327779,False,-0.648478629,2,4,4,3,4,3,2,4,2,4,22,2,4,4,2,4,3,2,4,2,4,21,21,-0.663868007,-0.776835832,,,,0,False,-1.481828999,-1.614055947,False,-0.839649681,-0.443058954,-1.853707108,-0.822808363
19,S2,26,Male,Bachelor's degree,English,United Kingdom ,United Kingdom ,0,qIAT,R_12x5Zyx6oRbQYq3,False,0.066069292,False,0.973328872,2,3,1,2,4,3,2,4,1,5,23,1,4,2,2,4,3,2,4,2,5,21,21,-0.550900183,-0.776835832,,,,0,False,0.098555427,0.036621451,False,1.011460894,0.922576043,-0.014083281,1.012752788
20,S2,61,Male,Master's degree,English,United Kingdom ,United Kingdom ,0,qIAT,R_1C3dIfEzyNGEqh2,False,1.479328956,False,0.292091786,4,2,2,4,2,5,5,2,3,2,41,4,2,2,4,3,4,4,2,4,2,39,39,1.482520658,1.256585009,,,,0,False,1.500951245,1.422580105,False,0.327220219,0.268985419,1.585443503,0.241728897
21,S2,28,other/ I prefer not to say,I prefer not to say,English,United Kingdom ,United Kingdom ,0,IAT,R_1CdNRfCwCWwT16i,False,-0.681854836,False,-0.818228312,2,5,4,3,4,2,1,3,2,4,20,1,4,5,4,5,3,1,4,2,4,19,19,-0.889803656,-1.002771481,,,,0,False,-1.039597849,-0.374127083,False,-0.823202281,-0.799521601,-0.393797013,-0.619577354
